2019-03-02 02:05:50,329 [I] 	(at main.py:29) 
2019-03-02 02:05:56,070 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:56,070 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:56,071 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:56,071 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:56,071 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:56,071 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:56,084 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,084 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:56,095 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,095 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:56,096 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:56,142 [D] ┌:P:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:56,142 [D] |:P:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:56,142 [D] └:P:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:56,142 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:56,142 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:56,155 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,155 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:56,166 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,166 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:56,166 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:56,510 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  2419 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  2421 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  2423 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:56,510 [D] ┌:C:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:56,510 [D] |:C:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:56,510 [D] └:C:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,602 [D] -:C:c:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:56,620 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,620 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:56,620 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,621 [D] ┌:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:56,621 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,621 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,634 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,634 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,669 [D] ┌:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,669 [D] └:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,819 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 21:  2474 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:56,819 [D] ┌:C:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:56,819 [D] |:C:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,819 [D] └:C:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:56,819 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:56,907 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,907 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,931 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,931 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,931 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:56,932 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:56,932 [D] |:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:56,932 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:56,977 [D] -:C:n:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:56,991 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,991 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:56,991 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:57,003 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,004 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:57,004 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:57,004 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,016 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,017 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:57,027 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,028 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:57,028 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,041 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,041 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:57,041 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,041 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,393 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  2579 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  2581 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  2583 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:57,393 [D] -:C:n:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,786 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  2597 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  2599 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  2601 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:57,787 [D] ┌:C:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,787 [D] └:C:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,796 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,797 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:57,797 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,797 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,854 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,854 [D] -:C:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,884 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,884 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,884 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,898 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,899 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:57,899 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,899 [D] └:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,899 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:57,910 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,910 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,921 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,921 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,921 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,954 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,954 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:57,954 [D] |:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,954 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:57,964 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,964 [D] -:F:n:WD_1:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,976 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,976 [D] ┌:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,976 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:57,988 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:57,988 [D] ┌:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:57,988 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:57,988 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:57,999 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,000 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:58,010 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,010 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:58,010 [D] └:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:58,021 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,022 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:58,022 [D] |:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:58,022 [D] └:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,022 [D]  : : :pass:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:58,033 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,033 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:58,044 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,044 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:58,044 [D] └:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,056 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,056 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:58,057 [D] |:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,057 [D] └:F:n:WD_3:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:58,306 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  2698 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  2700 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\n'	(at ex_script.py:45) 
2019-03-02 02:05:58,306 [D] -:C:n:WD_1:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,352 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,352 [D] ┌:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,352 [D] └:F:n:WD_2:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:58,382 [D] ┌:C:c:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:58,382 [D] |:C:c:WD_3:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:58,382 [D] └:C:c:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:58,395 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,395 [D] -:F:n:WD_1:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:58,434 [D] ┌:P:c:WD_2:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:58,435 [D] └:P:c:WD_2:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:58,435 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:58,435 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:58,435 [D]  : : :pass:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:58,435 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:58,445 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,446 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:58,459 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,459 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:58,459 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:58,470 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,470 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:58,470 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:58,470 [D] └:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,512 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,513 [D] -:C:n:WD_1:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:58,556 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,556 [D] ┌:C:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:58,556 [D] └:C:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,567 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,567 [D] ┌:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:58,567 [D] |:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,567 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,567 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:58,567 [D]  : : :pass:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:58,609 [D] -:C:n:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,622 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,622 [D] ┌:F:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,622 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,633 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,634 [D] ┌:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:58,634 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,634 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,634 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:58,634 [D]  : : :pass:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:58,644 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,644 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,656 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,656 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,656 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,667 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,668 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:58,668 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,668 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,678 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,678 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,689 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,689 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,689 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,699 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,699 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:58,699 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,700 [D] └:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,711 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,711 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,723 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,723 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,723 [D] └:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,734 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,734 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:58,734 [D] |:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,734 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,734 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:58,734 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:58,734 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:05:58,735 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:58,745 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,745 [D] -:F:n:WD_1:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,757 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,757 [D] ┌:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,757 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,758 [D] ┌:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:58,758 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,769 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,769 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,770 [D] -:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,770 [D] -:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:58,770 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:58,770 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:58,770 [D] comp_cached_cnt:5	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] compile_cnt:86	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] execute_cnt:14	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] fail_del_cnt:16	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] iter_idx:2	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] reuse_cnt:7	(at logger.py:134) 
2019-03-02 02:05:58,770 [D] succ_del_cnt:5	(at logger.py:134) 
2019-03-02 02:05:58,771 [D] time:3.1349878311157227	(at logger.py:134) 
2019-03-02 02:05:58,771 [D] deletion:37	(at logger.py:136) 
2019-03-02 02:05:58,771 [I] Iteration 2 finished	(at orbs.py:87) 
2019-03-02 02:05:58,771 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:58,771 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:58,772 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:58,781 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,782 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,794 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,795 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,795 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,807 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,807 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
